
===== Rubin vs DES (SIN FLAGS) =====
Bin_center   N_obj   Mean     Std      RMS
   15.25      103    0.2328    0.4203    0.4805
   15.75      119    0.1256    0.2247    0.2574
   16.25      137    0.0693    0.1075    0.1279
   16.75      155    0.0672    0.0371    0.0768
   17.25      195    0.0969    0.3388    0.3524
   17.75      249    0.0827    0.0537    0.0986
   18.25      269    0.0931    0.0638    0.1129
   18.75      347    0.0955    0.0697    0.1182
   19.25      494    0.0917    0.1166    0.1483
   19.75      677    0.1100    0.2627    0.2848
   20.25     1085    0.0955    0.1769    0.2010
   20.75     1601    0.0844    0.1101    0.1388
   21.25     2335    0.0874    0.1903    0.2094
   21.75     3369    0.0926    0.2561    0.2723
   22.25     4860    0.0939    0.2689    0.2848
   22.75     6943    0.0965    0.3246    0.3386
   23.25    10557    0.0826    0.3282    0.3385
   23.75    16485    0.0771    0.3944    0.4018
   24.25    24971    0.0762    0.4761    0.4821
   24.75    32429    0.0536    0.5072    0.5100
   25.25    25840   -0.0064    0.5713    0.5713
   25.75    10288   -0.1000    0.7409    0.7476
   26.25     2864   -0.2609    0.8669    0.9053
   26.75      854   -0.5386    0.9897    1.1267

===== Rubin vs DES (CON FLAGS) =====
Bin_center   N_obj   Mean     Std      RMS
   15.25       59    0.1994    0.4248    0.4693
   15.75       72    0.1323    0.1994    0.2393
   16.25      104    0.0550    0.0308    0.0630
   16.75      132    0.0675    0.0367    0.0769
   17.25      171    0.1029    0.3606    0.3750
   17.75      210    0.0802    0.0455    0.0922
   18.25      214    0.0949    0.0601    0.1123
   18.75      260    0.1020    0.0598    0.1182
   19.25      347    0.1065    0.0616    0.1230
   19.75      373    0.1300    0.2206    0.2561
   20.25      432    0.1274    0.2182    0.2526
   20.75      517    0.1289    0.0812    0.1523
   21.25      593    0.1443    0.2650    0.3017
   21.75      666    0.1679    0.4034    0.4370
   22.25      635    0.1625    0.2384    0.2885
   22.75      601    0.2123    0.5926    0.6295
   23.25      558    0.2220    0.5586    0.6011
   23.75      371    0.2155    0.5019    0.5462
   24.25      187    0.3878    0.7760    0.8676
   24.75       71    0.3487    0.5559    0.6562
   25.25       24    0.1584    0.3714    0.4038
   25.75        8   -0.3529    0.2659    0.4419
   26.25        3    0.3135    0.8625    0.9177
